uncal;DP;eps;acc;mean_pred;utility;DP
Uncalibrated;DP;16;0.7906666666666666;0.2568333333333333;0.04491666666666667;0.07574537604294301
Uncalibrated;DP;11;0.7638333333333334;0.31416666666666665;0.034416666666666665;0.15427637885190837
Uncalibrated;DP;18;0.7885;0.29283333333333333;0.05341666666666667;0.06936394021988282
Uncalibrated;DP;20;0.7888333333333334;0.2768333333333333;0.049416666666666664;0.14122010785760128
Uncalibrated;DP;19;0.7876666666666666;0.2841666666666667;0.040916666666666664;0.10116442866311585
Uncalibrated;DP;10;0.7831666666666667;0.2801666666666667;0.04491666666666667;0.11059655089061707
Uncalibrated;DP;17;0.7911666666666667;0.32;0.06016666666666667;0.11429571653622064
Uncalibrated;DP;7;0.77;0.3031666666666667;0.03791666666666667;0.11225359039117136
Uncalibrated;DP;9;0.7833333333333333;0.2658333333333333;0.04541666666666667;0.11792820051178182
Uncalibrated;DP;8;0.7901666666666667;0.29866666666666664;0.057166666666666664;0.0950613888124828
Uncalibrated;DP;6;0.766;0.3015;0.035916666666666666;0.04795245596925975
Uncalibrated;DP;1;0.7961666666666667;0.2795;0.060583333333333336;0.07063089195068892
Uncalibrated;DP;12;0.771;0.3375;0.040916666666666664;0.14557442091137174
Uncalibrated;DP;15;0.7785;0.286;0.035500000000000004;0.13673409850549706
Uncalibrated;DP;14;0.7713333333333333;0.3275;0.041916666666666665;0.12994090336992495
Uncalibrated;DP;13;0.7803333333333333;0.26816666666666666;0.04641666666666667;0.16041109249581156
Uncalibrated;DP;4;0.7871666666666667;0.2535;0.036083333333333335;0.06547306477290725
Uncalibrated;DP;3;0.7713333333333333;0.31783333333333336;0.04025;0.07112433630900283
Uncalibrated;DP;2;0.763;0.29083333333333333;0.03775;0.07914614121510674
Uncalibrated;DP;5;0.7776666666666667;0.2803333333333333;0.034666666666666665;0.04145599426537636
